,,,Resnet 34,,,,,ResNet 50,,,,,
Input,"224x224,3",Conv,Neurons,Weights,,Input,"224x224,3",Neurons,Weights,,,,
,"7x7,64,stride 2",,3136,9408,,,"7x7,64,stride 2",3136,9408,,,,
,"3x3 max pool, stride 2",,9,0,,,"3x3 max pool, stride 2",9,0,,,218,109
,"3x3,64",Conv2-64,576,36864,,,"1x1,64",64,4096,,,,
,"3x3,64",Conv2-64,576,36864,,,"3x3,64",576,36864,,,,
,"3x3,64",Conv2-64,576,36864,,,"1x1,256",256,16384,,,,
,"3x3,64",Conv2-64,576,36864,,,"1x1,64",64,16384,,,,
,"3x3,64",Conv2-64,576,36864,,,"3x3,64",576,36864,,,,
,"3x3,64",Conv2-64,576,36864,,,"1x1,256",256,16384,,,,
,"3X3,128",Conv3-128,576,73728,,,"1x1,64",64,16384,,,,
,"3X3,128",Conv3-128,1152,147456,,,"3x3,64",576,36864,,,,
,"3X3,128",Conv3-128,1152,147456,,,"1x1,256",256,16384,,,,
,"3X3,128",Conv3-128,1152,147456,,,"1x1,128",128,32768,,,,
,"3X3,128",Conv3-128,1152,147456,,,"3x3,128",1152,147456,,,,
,"3X3,128",Conv3-128,1152,147456,,,"1x1,512",512,65536,,,,
,"3X3,128",Conv3-128,1152,147456,,,"1x1,128",128,65536,,,,
,"3X3,128",Conv3-128,1152,147456,,,"3x3,128",1152,147456,,,,
,"3x3,256",Conv4-256,1152,294912,,,"1x1,512",512,65536,,,,
,"3x3,256",Conv4-256,2304,589824,,,"1x1,128",128,65536,,,,
,"3x3,256",Conv4-256,2304,589824,,,"3x3,128",1152,147456,,,,
,"3x3,256",Conv4-256,2304,589824,,,"1x1,512",512,65536,,,,
,"3x3,256",Conv4-256,2304,589824,,,"1x1,128",128,65536,,,,
,"3x3,256",Conv4-256,2304,589824,,,"3x3,128",1152,147456,,,,
,"3x3,256",Conv4-256,2304,589824,,,"1x1,512",512,65536,,,,
,"3x3,256",Conv4-256,2304,589824,,,"1x1,256",256,131072,,,,
,"3x3,256",Conv4-256,2304,589824,,,"3x3,256",2304,589824,,,,
,"3x3,256",Conv4-256,2304,589824,,,"1x1,1024",1024,262144,,,,
,"3x3,256",Conv4-256,2304,589824,,,"1x1,256",256,262144,,,,
,"3x3,256",Conv4-256,2304,589824,,,"3x3,256",2304,589824,,,,
,"3x3,512",Conv5-512,2304,1179648,,,"1x1,1024",1024,262144,,,,
,"3x3,512",Conv5-512,4608,2359296,,,"1x1,256",256,262144,,,,
,"3x3,512",Conv5-512,4608,2359296,,,"3x3,256",2304,589824,,,,
,"3x3,512",Conv5-512,4608,2359296,,,"1x1,1024",1024,262144,,,,
,"3x3,512",Conv5-512,4608,2359296,,,"1x1,256",256,262144,,,,
,"3x3,512",Conv5-512,4608,2359296,,,"3x3,256",2304,589824,,,,
,"1x1,1000",,1000,512000,,,"1x1,1024",1024,262144,,,,
,,," 68,081 "," 21,607,616 ",,,"1x1,256",256,262144,,,,
,,,,,,,"3x3,256",2304,589824,,,,
,,,,,,,"1x1,1024",1024,262144,,,,
,,,,,,,"1x1,256",256,262144,,,,
,,,,,,,"3x3,256",2304,589824,,,,
,,,,,,,"1x1,1024",1024,262144,,,,
,,,,,,,"1x1,512",512,524288,,,,
,,,,,,,"3x3,512",4608,2359296,,,,
,,,,,,,"1x1,2048",2048,1048576,,,,
,,,,,,,"1x1,512",512,1048576,,,,
,,,,,,,"3x3,512",4608,2359296,,,,
,,,,,,,"1x1,2048",2048,1048576,,,,
,,,,,,,"1x1,512",512,1048576,,,,
,,,,,,,"3x3,512",4608,2359296,,,,
,,,,,,,"1x1,2048",2048,1048576,,,,
,,,,,,,"1x1,1000",1000,2048000,,,,
,,,,,,,," 57,009 "," 22,734,016 ",,,,
